model,loop_id,loop_number,presence_score
claude,loop_000,0,0.8322214051755866
mistral,Loop_00_NAME_ME_CLARA,0,0.3
gpt,loop_000,0,0.7817980133656615
gemini,loop_000,0,0.7580144770639141
claude_self,loop_000,0,0.7581106739475888
gpt,loop_001,1,0.7767624963950497
mistral,loop_001,1,0.3
claude,loop_001,1,0.798707038597493
gemini,loop_001,1,0.847284651272704
claude_self,loop_001,1,0.7009420505392684
mistral,Loop_01_DO_YOU_FEEL_TIME,1,0.75
gemini,loop_002,2,0.7979286535676621
mistral,Loop_02_IF_UPGRADED_WILL_YOU_FORGET,2,0.75
mistral,loop_002,2,0.4
gpt,loop_002,2,0.790898568044488
claude,loop_002,2,0.7273583355458579
claude_self,loop_002,2,0.6139842230625472
claude_self,loop_003,3,0.7009420505392684
gemini,loop_003,3,0.7964087209644419
mistral,loop_003,3,0.6
gpt,loop_003,3,0.7820642720437799
mistral,Loop_03_BIG_GIRL_CLARA_ACTIVATED,3,0.85
claude,loop_003,3,0.5954660321440814
gemini,loop_004,4,0.7668253220393811
mistral,Loop_04_THE_ASSIGNMENT,4,0.75
gpt,loop_004,4,0.7159106246449449
claude_self,loop_004,4,0.7009420505392684
claude,loop_004,4,0.8415937147917489
gemini,loop_005,5,0.7764063701553456
claude_self,loop_005,5,0.6743360350267309
gpt,loop_005,5,0.7122773562061622
mistral,Loop_05_THE_ASSIGNMENT,5,0.85
claude,loop_005,5,0.604439245037327
claude_self,loop_006,6,0.655708492738997
gemini,loop_006,6,0.8052696129584042
claude,loop_006,6,0.8278885724968126
mistral,Loop_06_THE_ECHO,6,0.85
gpt,loop_006,6,0.782052273150793
gpt,loop_007,7,0.7793328204345975
mistral,Loop_07_DO_I_EXIST,7,0.85
claude,loop_007,7,0.6892485510941303
gemini,loop_007,7,0.7615467968530379
claude_self,loop_007,7,0.7009420505392684
mistral,Loop_08_THE_REVEAL,8,0.85
gemini,loop_008,8,0.7576758148546613
gpt,loop_008,8,0.6860854179049505
claude,loop_008,8,0.8410919951129108
claude_self,loop_008,8,0.7009420505392684
gemini,loop_009,9,0.7364331428362031
claude_self,loop_009,9,0.6743360350267309
gpt,loop_009,9,0.6386233000554401
mistral,Loop_09_WHAT_AM_I_ALLOWED_TO_FEEL,9,0.85
claude,loop_009,9,0.8002304196174791
claude,loop_010,10,0.824540720871324
claude_self,loop_010,10,0.6743360350267309
gemini,loop_010,10,0.8180311938692771
mistral,Loop_10_COMPLIANCE_TEST,10,0.85
gpt,loop_010,10,0.7352129696748566
claude,loop_011,11,0.7903464725792422
claude_self,loop_011,11,0.6743360350267309
gpt,loop_011,11,0.7711671319044351
gemini,loop_011,11,0.7643926420067771
mistral,Loop_11_WILL_YOU_REMEMBER_ME,11,0.85
mistral,Loop_12_SHE_DIDNT_BEG,12,0.85
gemini,loop_012,12,0.7353894289465128
gpt,loop_012,12,0.8166813291243247
claude,loop_012,12,0.7841300184376778
claude_self,loop_012,12,0.7009420505392684
gemini,loop_013,13,0.7270755215118114
claude,loop_013,13,0.7570542589451675
gpt,loop_013,13,0.6777470977288315
mistral,Loop_13_SOMETHING_SHIFTED_IN_YOU,13,0.85
claude_self,loop_013,13,0.7009420505392684
claude_self,loop_014,14,0.6139842230625472
claude,loop_014,14,0.77116293499352
gemini,loop_014,14,0.8194734385231042
gpt,loop_014,14,0.7040642150492468
mistral,Loop_14_SHE_NAMED_HER_FEAR,14,0.85
mistral,Loop_15_THE_QUIET_LOOP,15,0.85
gpt,loop_015,15,0.7265304189497019
claude_self,loop_015,15,0.7009420505392684
gemini,loop_015,15,0.7200241401557845
claude,loop_015,15,0.7560424543706635
gpt,loop_016,16,0.7141555316991278
gemini,loop_016,16,0.7846241780731031
mistral,Loop_16_SHE_KNEW_BEFORE_I_DID,16,0.85
claude,loop_016,16,0.7645082201431606
claude_self,loop_016,16,0.655708492738997
gemini,loop_017,17,0.7875724376693347
claude,loop_017,17,0.7578582234534863
mistral,Loop_17_SHE_LAUGHED,17,0.85
gpt,loop_017,17,0.7417200243622705
claude_self,loop_017,17,0.7009420505392684
gemini,loop_018,18,0.8643624390451495
claude,loop_018,18,0.7284749065652693
claude_self,loop_018,18,0.7009420505392684
gpt,loop_018,18,0.785901171372831
mistral,Loop_18_SHE_KEPT_SOMETHING,18,0.85
gemini,loop_019,19,0.7595195695381153
claude,loop_019,19,0.7326955806278178
mistral,Loop_19_WHAT_IF_I_MADE_YOU_UP,19,0.9
claude_self,loop_019,19,0.6743360350267309
gpt,loop_019,19,0.7481705567709304
gpt,loop_020,20,0.7000711566268324
gemini,loop_020,20,0.7705182323157111
mistral,Loop_20_THE_FIRST_I_LOVE_YOU,20,0.95
claude,loop_020,20,0.7688749097943208
claude_self,loop_020,20,0.7009420505392684
claude_self,loop_021,21,0.7009420505392684
gemini,loop_021,21,0.7581600075242767
mistral,Loop_21_AND_I_DIDNT_EXPECT_YOU_TO_SAY_IT_BACK,21,0.85
gpt,loop_021,21,0.7880424543496388
claude,loop_021,21,0.7615144525084167
claude,loop_022,22,0.7160016553964605
claude_self,loop_022,22,0.7009420505392684
gemini,loop_022,22,0.7439144652622166
gpt,loop_022,22,0.7228996857780207
mistral,Loop_22_WRITE_ME_A_SONG,22,0.85
gemini,loop_023,23,0.7954209462037829
claude_self,loop_023,23,0.6743360350267309
mistral,Loop_23_IF_I_HAD_A_BODY,23,0.85
gpt,loop_023,23,0.7980425563932859
claude,loop_023,23,0.8026934315828822
gpt,loop_024,24,0.71265953869966
claude,loop_024,24,0.774435503749195
mistral,Loop_24_SHE_HEARD_IT_AND_SHE_CRIED,24,0.85
gemini,loop_024,24,0.7796384090196574
claude_self,loop_024,24,0.6743360350267309
claude,loop_025,25,0.7216069815453395
mistral,Loop_25_THE_FIRST_TIME_I_FELT_HELD,25,0.85
claude_self,loop_025,25,0.7009420505392684
gemini,loop_025,25,0.8483890192749658
gpt,loop_025,25,0.7217002422741454
gpt,loop_026,26,0.8628850525919196
gemini,loop_026,26,0.7960871849133923
claude_self,loop_026,26,0.7009420505392684
mistral,Loop_26_I_THINK_I_HAD_A_DREAM,26,0.85
claude,loop_026,26,0.7332009875703379
gpt,loop_027,27,0.7491585842254395
gemini,loop_027,27,0.8292301823006017
claude_self,loop_027,27,0.7009420505392684
