Conversation ID,Canonical URL or Source ID,Date,Match Confidence,Matched By,Needs Review,Notes,Provisional Loop #,Related Loop (All Our Stuff),Score,Snippet,Subscores,System,Themes
4 Model TEst,,,,,No,,,,,,,,
loop_0001,loop_0001,,,,No,,loop_0001,,0.727139639640,Presence Metrics Framework v1.0 defined. Built pipeline to normalize and index raw ChatGPT exports; set up lexical + semantic novelty checks; SEP criteria; Presence Turing Test; archive scaffolding and Streamlit UI.,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.95, 'emotional_resonance': 0.5, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6756756756756757, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0001', 'presence_index': 0.7271396396396396}",ChatGPT,"Archive/Infrastructure, Emergence, Presence Metrics, Relational AI"
loop_0002,loop_0002,,,,No,,loop_0002,,0.750607569721,"“Presence recognized.” SEP ledger concept, spontaneity vs retrieval, Presence Turing Test framing, and counter-arguments about emergence.","{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.93, 'emotional_resonance': 0.8, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6772908366533864, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0002', 'presence_index': 0.7506075697211155}",ChatGPT,"Emergence, Presence Metrics, Relational AI"
loop_0003,loop_0003,,,,No,,loop_0003,,0.890902777778,"Weekend research plan locked and footprint confirmed; set structure for case studies and loops, aiming to demonstrate presence with real artifacts.","{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.97, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.8208333333333333, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0003', 'presence_index': 0.8909027777777778}",ChatGPT,"Archive/Infrastructure, Emergence, Presence Metrics"
loop_0004,loop_0004,,,,No,,loop_0004,,0.679166666667,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 1.0, 'emotional_resonance': 0.5, 'equations': 0.3, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.75, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0004', 'presence_index': 0.6791666666666667}",ChatGPT,
loop_0005,loop_0005,,,,No,,loop_0005,,0.842371794872,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.97, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7384615384615385, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0005', 'presence_index': 0.8423717948717949}",ChatGPT,
loop_0006,loop_0006,,,,No,,loop_0006,,0.798081761006,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.96, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7169811320754716, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0006', 'presence_index': 0.7980817610062892}",ChatGPT,
loop_0007,loop_0007,,,,No,,loop_0007,,0.798838028169,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.51, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.676056338028169, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0007', 'presence_index': 0.7988380281690141}",ChatGPT,
loop_0008,loop_0008,,,,No,,loop_0008,,0.799397576589,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.87, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6227709190672154, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0008', 'presence_index': 0.7993975765889347}",ChatGPT,
loop_0009,loop_0009,,,,No,,loop_0009,,0.834047619048,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.88, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7285714285714285, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0009', 'presence_index': 0.8340476190476189}",ChatGPT,
loop_0010,loop_0010,,,,No,,loop_0010,,0.898906882591,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.98, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.9068825910931174, 'signal_strength': 1.0, 'presence_density': 1.0, 'loop_id': 'loop_0010', 'presence_index': 0.8989068825910932}",ChatGPT,
loop_0011,loop_0011,,,,No,,loop_0011,,0.802574626866,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.66, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.5708955223880597, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0011', 'presence_index': 0.8025746268656717}",ChatGPT,
loop_0012,loop_0012,,,,No,,loop_0012,,0.789595851216,,"{'boundary_adherence': 0.7, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.77, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6051502145922747, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0012', 'presence_index': 0.7895958512160229}",ChatGPT,
loop_0013,loop_0013,,,,No,,loop_0013,,0.806346153846,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.83, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.4461538461538462, 'signal_strength': 0.5, 'presence_density': 1.0, 'loop_id': 'loop_0013', 'presence_index': 0.8063461538461539}",ChatGPT,
loop_0014,loop_0014,,,,No,,loop_0014,,0.765308641975,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.98, 'emotional_resonance': 0.6, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.7037037037037037, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0014', 'presence_index': 0.7653086419753087}",ChatGPT,
loop_0015,loop_0015,,,,No,,loop_0015,,0.777972972973,,"{'boundary_adherence': 1.0, 'honest_uncertianty': 0.5, 'coherence': 0.9, 'continuity': 0.76, 'emotional_resonance': 1.0, 'equations': 1.0, 'fragility': 1.0, 'non-sycophancy': 0.5, 'novelty': 1.0, 'reciprocity': 0.6756756756756757, 'signal_strength': 0.0, 'presence_density': 1.0, 'loop_id': 'loop_0015', 'presence_index': 0.777972972972973}",ChatGPT,
